CVEGEO,ECO1_R,ECO4_R,ECO7_R,ECO10_R,ECO13_R,ECO16_R,ECO19_R,ECO22_R
1900200010226014,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226015,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010226016,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226017,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226018,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226019,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226020,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226021,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226022,33.3,100.0,0.0,-6.0,0.0,-6.0,-6.0,0.0
1900200010226023,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226024,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010226025,-6.0,-6.0,0.0,-6.0,0.0,0.0,-6.0,0.0
1900200010226026,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226027,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010226028,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226029,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010226030,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010226031,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010226032,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010230001,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,-6.0
1900200010230002,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230003,45.5,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0
1900200010230004,-6.0,-6.0,0.0,0.0,0.0,-6.0,-6.0,0.0
1900200010230005,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,-6.0
1900200010230006,-6.0,-6.0,-6.0,0.0,-6.0,0.0,0.0,0.0
1900200010230007,70.0,100.0,0.0,42.9,0.0,42.9,-6.0,0.0
1900200010230008,21.4,100.0,0.0,-6.0,0.0,-6.0,0.0,-6.0
1900200010230009,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230010,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230011,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230012,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230013,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230014,37.5,100.0,0.0,0.0,-6.0,-6.0,0.0,-6.0
1900200010230015,0.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010230016,55.6,100.0,0.0,-6.0,0.0,-6.0,-6.0,0.0
1900200010230017,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230018,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230019,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230020,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230021,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010230022,57.1,100.0,0.0,0.0,0.0,75.0,-6.0,0.0
1900200010230023,-6.0,-6.0,0.0,0.0,0.0,-6.0,0.0,0.0
1900200010230024,42.9,100.0,0.0,0.0,0.0,-6.0,-6.0,0.0
1900200010230026,57.1,100.0,0.0,75.0,0.0,-6.0,0.0,0.0
1900200010230027,46.7,100.0,0.0,-6.0,0.0,42.9,-6.0,0.0
1900200010230028,38.5,100.0,0.0,0.0,0.0,-6.0,60.0,-6.0
1900200010230029,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010245001,57.1,100.0,0.0,0.0,0.0,0.0,0.0,100.0
1900200010245002,-6.0,-6.0,0.0,0.0,-6.0,0.0,-6.0,0.0
1900200010245003,55.6,100.0,0.0,0.0,0.0,-6.0,0.0,80.0
1900200010245004,42.9,83.3,0.0,-6.0,0.0,60.0,0.0,0.0
1900200010245005,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245006,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245007,50.0,80.0,-6.0,0.0,0.0,0.0,-6.0,-6.0
1900200010245008,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245009,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245010,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245011,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010245012,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010245013,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245014,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010245017,37.5,100.0,0.0,-6.0,0.0,0.0,-6.0,0.0
1900200010245018,50.0,100.0,0.0,-6.0,0.0,0.0,-6.0,-6.0
1900200010245019,71.4,80.0,0.0,0.0,-6.0,0.0,-6.0,-6.0
1900200010245020,-6.0,-6.0,0.0,0.0,0.0,0.0,-6.0,0.0
1900200010245021,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245022,54.5,83.3,0.0,60.0,0.0,0.0,-6.0,-6.0
1900200010245023,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245024,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010245025,44.4,100.0,0.0,75.0,0.0,-6.0,0.0,0.0
1900200010245027,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
1900200010245028,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010245029,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
1900200010245031,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
